priority,name,code
01,엑시온그룹,069920
02,엔비티,236810
03,동양철관,008970
04,이노메트리,302430
05,코오롱,002020
06,신풍,002870
07,대진첨단소재,393970
08,온코닉테라퓨틱스,476060
09,콜마홀딩스,024720
10,PN풍년,024940
11,모티브링크,463480
12,코오롱모빌리티그룹,450140
13,디아이,003160
14,노을,376930
15,서연,007860
16,에스티아이,039440
17,에어레인,163280
18,알리코제약,260660
19,한국첨단소재,062970
20,이랜시스,264850
21,자람테크놀로지,389020
22,SG글로벌,001380
23,소룩스,290690
24,엠로,058970
25,대성하이텍,129920
26,현대위아,011210
27,쓰리빌리언,394800
28,오리엔탈정공,014940
29,에스오에스랩,464080
30,와이팜,332570
